latitude,longitude,name,source,precision,,
41.867725,-87.654823,"1100 South May, Chicago, Illinois 60607",Bing Maps,address,,
42.0084558,-87.6752228,"6969 N. Ravenswood Avenue, Chicago, Illinois 60626",Bing Maps,address,,
41.9741936,-87.7138748,"5101 N. Kimball, Chicago, Illinois 60625",Bing Maps,address,,
41.8554519,-87.6999166,"2929 West 19th Street, Chicago, Illinois 60623",Bing Maps,address,,
41.7490654,-87.6637802,"7946 South Ashland Avenue, Chicago, Illinois 60620",Bing Maps,address,,
41.7490425,-87.6630249,"7949 South Ashland Avenue, Chicago, Illinois 60620",Bing Maps,address,,
41.9415656,-87.7592672,"3330 North Lockwood Ave, Chicago, Illinois 60618",Bing Maps,address,,
41.8477178,-87.7027235,"2414 South Albany Avenue, Chicago, Illinois 60623",Bing Maps,address,,
41.8988571,-87.6288452,"15 West Delaware Place, Chicago, Illinois 60610",Bing Maps,address,,
41.8604851,-87.7503433,"1447 South 50th Court, Cicero, Illinois 60804",Bing Maps,address,,
41.8466724,-87.7735352,"2423 South Austin Blvd, Cicero, Illinois 60804",Bing Maps,address,,
41.8434792,-87.7994232,"7022 Riverside Drive, Berwyn, Illinois 60402",Bing Maps,address,,
41.8408089,-87.7467422,"2831 South 49th Avenue, Cicero, Illinois 60804",Bing Maps,address,,
41.8505592,-87.758667,"5341 Cermak Road, Cicero, Illinois 60804",Bing Maps,address,,
41.8066216,-87.6674149,"4800 South Paulina, Chicago, Illinois 60609",Bing Maps,address,,
39.0008909,-87.9102024,"203 West Missouri Street, Oblong, Illinois 62449",Bing Maps,address,,
41.965641,-87.8312073,"8151 W. Lawrence Ave., Norridge, Illinois 60706",Bing Maps,address,,
42.2686806,-89.0303955,"4345 Maray Dr., Rockford, Illinois 61107",Bing Maps,address,,
41.8811381,-87.7109271,"7 North Homan Avenue, Chicago, Illinois 60624",Bing Maps,address,,
41.6924591,-87.6131973,"401 East 111th Street, Chicago, Illinois 60628",Bing Maps,address,,
